section,year,acquisition_dates,n_scenes
sacramento_24,2016,2016-07-09,1
sacramento_24,2018,2018-07-15,1
sacramento_24,2020,"2020-07-08, 2020-07-12",2
sacramento_24,2022,2022-07-13,1
sacramento_25,2009,2009-07-02,1
sacramento_25,2010,2010-07-22,1
sacramento_25,2012,2012-07-02,1
sacramento_25,2014,2014-07-12,1
sacramento_25,2016,2016-07-09,1
sacramento_25,2018,2018-07-15,1
sacramento_25,2020,"2020-07-08, 2020-07-09, 2020-07-12",3
sacramento_25,2022,2022-07-13,1
sacramento_26,2009,2009-07-02,1
sacramento_26,2010,2010-07-22,1
sacramento_26,2012,2012-07-02,1
sacramento_26,2014,2014-07-12,1
sacramento_26,2016,2016-07-09,1
sacramento_26,2018,2018-07-15,1
sacramento_26,2020,2020-07-08,1
sacramento_26,2022,2022-07-13,1
sacramento_27,2009,2009-07-02,1
sacramento_27,2010,2010-07-22,1
sacramento_27,2012,2012-07-02,1
sacramento_27,2014,2014-07-12,1
sacramento_27,2016,2016-07-09,1
sacramento_27,2018,2018-07-15,1
sacramento_27,2020,2020-07-08,1
sacramento_27,2022,2022-07-13,1
sacramento_28,2009,"2009-07-01, 2009-07-02",2
sacramento_28,2010,2010-07-22,1
sacramento_28,2012,"2012-07-02, 2012-07-04",2
sacramento_28,2014,"2014-07-12, 2014-07-25, 2014-07-26",3
sacramento_28,2016,2016-07-09,1
sacramento_28,2018,2018-07-15,1
sacramento_28,2020,2020-07-08,1
sacramento_28,2022,2022-07-13,1
sacramento_29,2009,"2009-07-01, 2009-07-02",2
sacramento_29,2010,2010-07-22,1
sacramento_29,2012,"2012-07-02, 2012-07-04",2
sacramento_29,2014,"2014-07-12, 2014-07-25, 2014-07-26",3
sacramento_29,2016,2016-07-09,1
sacramento_29,2018,2018-07-15,1
sacramento_29,2020,2020-07-08,1
sacramento_29,2022,2022-07-13,1
sacramento_3,2009,2009-07-01,1
sacramento_3,2010,"2010-07-13, 2010-07-19",2
sacramento_3,2012,2012-07-02,1
sacramento_3,2014,"2014-07-25, 2014-07-28",2
sacramento_3,2016,"2016-07-12, 2016-07-16",2
sacramento_3,2018,2018-10-08,1
sacramento_3,2020,2020-07-12,1
sacramento_3,2022,2022-07-16,1
sacramento_30,2009,"2009-07-01, 2009-07-02",2
sacramento_30,2010,2010-07-22,1
sacramento_30,2012,"2012-07-02, 2012-07-04",2
sacramento_30,2014,"2014-07-12, 2014-07-25, 2014-07-26",3
sacramento_30,2016,2016-07-09,1
sacramento_30,2018,2018-07-15,1
sacramento_30,2020,2020-07-08,1
sacramento_30,2022,2022-07-13,1
sacramento_31,2009,2009-07-01,1
sacramento_31,2010,2010-07-22,1
sacramento_31,2012,2012-07-04,1
sacramento_31,2014,"2014-07-12, 2014-07-25",2
sacramento_31,2016,2016-07-09,1
sacramento_31,2018,2018-07-15,1
sacramento_31,2020,2020-07-08,1
sacramento_31,2022,2022-07-13,1
sacramento_32,2009,2009-07-01,1
sacramento_32,2010,2010-07-22,1
sacramento_32,2012,2012-07-04,1
sacramento_32,2014,"2014-07-12, 2014-07-25",2
sacramento_32,2016,2016-07-09,1
sacramento_32,2018,2018-07-15,1
sacramento_32,2020,2020-07-08,1
sacramento_32,2022,2022-07-13,1
sacramento_33,2009,2009-07-01,1
sacramento_33,2010,2010-07-22,1
sacramento_33,2012,2012-07-04,1
sacramento_33,2014,"2014-07-12, 2014-07-25",2
sacramento_33,2016,2016-07-09,1
sacramento_33,2018,2018-07-15,1
sacramento_33,2020,2020-07-08,1
sacramento_33,2022,2022-07-13,1
sacramento_34,2009,2009-07-01,1
sacramento_34,2010,2010-07-22,1
sacramento_34,2012,2012-07-04,1
sacramento_34,2014,"2014-07-12, 2014-07-25",2
sacramento_34,2016,2016-07-09,1
sacramento_34,2018,2018-07-15,1
sacramento_34,2020,2020-07-08,1
sacramento_34,2022,2022-07-13,1
sacramento_35,2009,2009-07-01,1
sacramento_35,2010,"2010-07-10, 2010-07-22",2
sacramento_35,2012,2012-07-04,1
sacramento_35,2014,2014-07-25,1
sacramento_35,2016,"2016-07-09, 2016-07-12",2
sacramento_35,2018,2018-07-15,1
sacramento_35,2020,2020-07-08,1
sacramento_35,2022,2022-07-13,1
sacramento_36,2009,2009-07-01,1
sacramento_36,2010,"2010-07-10, 2010-07-22",2
sacramento_36,2012,2012-07-04,1
sacramento_36,2014,2014-07-25,1
sacramento_36,2016,"2016-07-09, 2016-07-12",2
sacramento_36,2018,2018-07-15,1
sacramento_36,2020,2020-07-08,1
sacramento_36,2022,2022-07-13,1
sacramento_37,2009,2009-07-01,1
sacramento_37,2010,2010-07-22,1
sacramento_37,2012,2012-07-04,1
sacramento_37,2014,2014-07-25,1
sacramento_37,2016,2016-07-09,1
sacramento_37,2018,2018-07-15,1
sacramento_37,2020,2020-07-08,1
sacramento_37,2022,2022-07-13,1
sacramento_38,2009,2009-07-01,1
sacramento_38,2010,2010-07-22,1
sacramento_38,2012,2012-07-04,1
sacramento_38,2014,"2014-07-12, 2014-07-25",2
sacramento_38,2016,2016-07-09,1
sacramento_38,2018,2018-07-15,1
sacramento_38,2020,2020-07-08,1
sacramento_38,2022,2022-07-13,1
sacramento_39,2009,2009-07-01,1
sacramento_39,2010,2010-07-22,1
