section,year,acquisition_dates,n_scenes
sacramento_84,2016,"2016-06-19, 2016-06-20",2
sacramento_84,2018,2018-07-13,1
sacramento_84,2020,2020-06-16,1
sacramento_84,2022,2022-06-20,1
sacramento_85,2009,2009-06-20,1
sacramento_85,2010,2010-07-18,1
sacramento_85,2012,2012-06-27,1
sacramento_85,2014,2014-06-05,1
sacramento_85,2016,2016-06-19,1
sacramento_85,2018,2018-07-13,1
sacramento_85,2020,2020-06-16,1
sacramento_85,2022,2022-06-20,1
sacramento_86,2009,2009-06-20,1
sacramento_86,2010,"2010-07-18, 2010-08-29",2
sacramento_86,2012,"2012-05-21, 2012-06-27",2
sacramento_86,2014,"2014-06-05, 2014-06-20",2
sacramento_86,2016,"2016-05-29, 2016-06-19",2
sacramento_86,2018,2018-07-13,1
sacramento_86,2020,"2020-05-27, 2020-06-16",2
sacramento_86,2022,"2022-05-19, 2022-06-20",2
sacramento_87,2009,2009-06-20,1
sacramento_87,2010,"2010-07-18, 2010-08-29",2
sacramento_87,2012,"2012-05-21, 2012-06-27",2
sacramento_87,2014,"2014-06-05, 2014-06-20",2
sacramento_87,2016,"2016-05-29, 2016-06-19, 2016-06-20",3
sacramento_87,2018,2018-07-13,1
sacramento_87,2020,"2020-05-27, 2020-06-16",2
sacramento_87,2022,"2022-05-19, 2022-06-20",2
sacramento_88,2009,2009-06-20,1
sacramento_88,2010,"2010-07-18, 2010-08-29",2
sacramento_88,2012,"2012-05-21, 2012-06-27",2
sacramento_88,2014,"2014-06-05, 2014-06-20",2
sacramento_88,2016,"2016-06-19, 2016-06-20",2
sacramento_88,2018,2018-07-13,1
sacramento_88,2020,2020-05-27,1
sacramento_88,2022,"2022-05-19, 2022-06-20",2
sacramento_89,2009,2009-06-20,1
sacramento_89,2010,"2010-07-18, 2010-08-29",2
sacramento_89,2012,"2012-05-21, 2012-06-27",2
sacramento_89,2014,"2014-06-05, 2014-06-20",2
sacramento_89,2016,"2016-06-19, 2016-06-20",2
sacramento_89,2018,2018-07-13,1
sacramento_89,2020,2020-05-27,1
sacramento_89,2022,"2022-05-17, 2022-05-19, 2022-06-20",3
sacramento_9,2009,"2009-07-01, 2009-07-02",2
sacramento_9,2010,2010-07-19,1
sacramento_9,2012,2012-07-02,1
sacramento_9,2014,2014-07-25,1
sacramento_9,2016,"2016-07-09, 2016-07-16",2
sacramento_9,2018,"2018-07-19, 2018-10-06",2
sacramento_9,2020,2020-07-12,1
sacramento_9,2022,2022-07-16,1
sacramento_90,2009,2009-06-20,1
sacramento_90,2010,"2010-07-18, 2010-08-29",2
sacramento_90,2012,"2012-05-21, 2012-06-27",2
sacramento_90,2014,"2014-06-05, 2014-06-20",2
sacramento_90,2016,"2016-05-29, 2016-06-19, 2016-06-20",3
sacramento_90,2018,2018-07-13,1
sacramento_90,2020,2020-05-27,1
sacramento_90,2022,"2022-05-17, 2022-05-19, 2022-06-20",3
sacramento_91,2009,2009-06-20,1
sacramento_91,2010,"2010-07-18, 2010-08-29",2
sacramento_91,2012,"2012-05-21, 2012-06-27",2
sacramento_91,2014,2014-06-05,1
sacramento_91,2016,"2016-05-29, 2016-06-19, 2016-06-20",3
sacramento_91,2018,2018-07-13,1
sacramento_91,2020,2020-05-27,1
sacramento_91,2022,"2022-05-17, 2022-06-20",2
sacramento_92,2009,"2009-06-20, 2009-07-02",2
sacramento_92,2010,"2010-05-28, 2010-07-18",2
sacramento_92,2012,"2012-05-19, 2012-05-21",2
sacramento_92,2014,2014-06-05,1
sacramento_92,2016,2016-05-29,1
sacramento_92,2018,"2018-07-13, 2018-07-14",2
sacramento_92,2020,2020-05-27,1
sacramento_92,2022,2022-05-17,1
sacramento_93,2009,"2009-06-07, 2009-06-20, 2009-07-02",3
sacramento_93,2010,2010-05-28,1
sacramento_93,2012,"2012-05-19, 2012-05-21",2
sacramento_93,2014,2014-06-05,1
sacramento_93,2016,2016-05-29,1
sacramento_93,2018,2018-07-14,1
sacramento_93,2020,2020-05-27,1
sacramento_93,2022,2022-05-17,1
sacramento_94,2009,"2009-06-07, 2009-06-18, 2009-06-20, 2009-07-02",4
sacramento_94,2010,2010-05-28,1
sacramento_94,2012,"2012-05-19, 2012-05-21",2
sacramento_94,2014,2014-06-05,1
sacramento_94,2016,2016-05-29,1
sacramento_94,2018,2018-07-14,1
sacramento_94,2020,2020-05-27,1
sacramento_94,2022,2022-05-17,1
sacramento_95,2009,2009-06-07,1
sacramento_95,2010,2010-05-28,1
sacramento_95,2012,2012-05-21,1
sacramento_95,2014,2014-06-05,1
sacramento_95,2016,2016-05-29,1
sacramento_95,2018,2018-07-14,1
sacramento_95,2020,2020-05-27,1
sacramento_95,2022,2022-05-17,1
sacramento_96,2009,2009-06-07,1
sacramento_96,2010,2010-05-28,1
sacramento_96,2012,"2012-05-19, 2012-05-21",2
sacramento_96,2014,2014-06-05,1
sacramento_96,2016,"2016-05-26, 2016-05-28, 2016-05-29",3
sacramento_96,2018,2018-07-14,1
sacramento_96,2020,2020-05-27,1
sacramento_96,2022,2022-05-17,1
sacramento_97,2009,2009-06-07,1
sacramento_97,2010,2010-05-28,1
sacramento_97,2012,"2012-05-19, 2012-05-21",2
sacramento_97,2014,2014-06-05,1
sacramento_97,2016,"2016-05-26, 2016-05-28, 2016-05-29",3
sacramento_97,2018,2018-07-14,1
sacramento_97,2020,2020-05-27,1
sacramento_97,2022,2022-05-17,1
